key,text,locations,ar,en,fr,ru,tr
"autogen.back_to_explore","← Back to Explore","waynest-FE\src\pages\guest\placeDetail\PlaceDetail.jsx:87","← العودة للاستكشاف","← Back to Explore","← Retour à Explorer","← Back to Explore","← Keşfet'e Geri"
"autogen.ai_powered_travel_planning","✨ AI-Powered Travel Planning","waynest-FE\src\pages\guest\landing\LandingPage.jsx:98","✨ تخطيط السفر بالذكاء الاصطناعي","✨ AI-Powered Travel Planning","✨ Planification de voyages propulsée par l'IA","✨ AI-Powered Travel Planning","✨ AI-Powered Travel Planning"
"autogen.sign_in_to_save_this_trip_to_your_account_and_remix_it","✨ Sign in to save this trip to your account and remix it.","waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:128","✨ Sign in to save this trip to your account and remix it.","✨ Sign in to save this trip to your account and remix it.","✨ Sign in to save this trip to your account and remix it.","✨ Sign in to save this trip to your account and remix it.","✨ Sign in to save this trip to your account and remix it."
"autogen.get_started_free","🚀 Get Started Free","waynest-FE\src\pages\guest\landing\LandingPage.jsx:150","🚀 Get Started Free","🚀 Get Started Free","🚀 Get Started Free","🚀 Get Started Free","🚀 Get Started Free"
"autogen.1_240_trips","1,240 trips","waynest-FE\src\pages\guest\landing\LandingPage.jsx:82","1,240 trips","1,240 trips","1,240 trips","1,240 trips","1,240 trips"
"autogen.12_400_explorers","12,400 Explorers","waynest-FE\src\pages\guest\landing\LandingPage.jsx:74","12,400 Explorers","12,400 Explorers","12,400 Explorers","12,400 Explorers","12,400 Explorers"
"autogen.850_places","850+ Places","waynest-FE\src\pages\guest\landing\LandingPage.jsx:90","850+ Places","850+ Places","850+ Places","850+ Places","850+ Places"
"autogen.access_denied","Access Denied","waynest-FE\src\pages\system\unauthorized\Unauthorized.jsx:24","Access Denied","Access Denied","Access Denied","Access Denied","Access Denied"
"autogen.actions","Actions","waynest-FE\src\components\admin\DevicesManager\index.jsx:83","Actions","Actions","Actions","Actions","Actions"
"autogen.activating_your_device","Activating your device...","waynest-FE\src\pages\auth\invite\InvitePage.jsx:15","Activating your device...","Activating your device...","Activating your device...","Activating your device...","Activating your device..."
"autogen.admin_control_center","Admin control center","waynest-FE\src\layouts\AdminLayout.jsx:3","Admin control center","Admin control center","Admin control center","Admin control center","Admin control center"
"autogen.admin_devices","Admin Devices","waynest-FE\src\pages\admin\devices\DevicesPage.jsx:7","Admin Devices","Admin Devices","Admin Devices","Admin Devices","Admin Devices"
"autogen.afternoon","Afternoon","waynest-FE\src\components\trips\TripPlannerResultsPanel.jsx:145 | waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:179","Afternoon","Afternoon","Afternoon","Afternoon","Afternoon"
"autogen.ai_builds_your_itinerary","AI builds your itinerary","waynest-FE\src\pages\guest\landing\LandingPage.jsx:231","AI builds your itinerary","AI builds your itinerary","AI builds your itinerary","AI builds your itinerary","AI builds your itinerary"
"autogen.ai_itinerary_ready","AI Itinerary Ready","waynest-FE\src\pages\guest\landing\LandingPage.jsx:66","AI Itinerary Ready","AI Itinerary Ready","AI Itinerary Ready","AI Itinerary Ready","AI Itinerary Ready"
"autogen.ai_trip_planner","AI Trip Planner","waynest-FE\src\pages\shared\TripPlanner.jsx:81","AI Trip Planner","AI Trip Planner","AI Trip Planner","AI Trip Planner","AI Trip Planner"
"autogen.ai_powered_travel_planning_curated_destinations_and_a_commun","AI-powered travel planning, curated destinations, and a community of passionate explorers — all in one place.","waynest-FE\src\components\public\footer\GuestFooter.jsx:30","AI-powered travel planning, curated destinations, and a community of passionate explorers — all in one place.","AI-powered travel planning, curated destinations, and a community of passionate explorers — all in one place.","AI-powered travel planning, curated destinations, and a community of passionate explorers — all in one place.","AI-powered travel planning, curated destinations, and a community of passionate explorers — all in one place.","AI-powered travel planning, curated destinations, and a community of passionate explorers — all in one place."
"autogen.alpha_2","Alpha 2","waynest-FE\src\pages\user\geo\GeoTables.jsx:32","Alpha 2","Alpha 2","Alpha 2","Alpha 2","Alfa 2"
